Kaggle_Classification,Tweet,Original_Manual_Sentiment,Sentiment_v2
Positive,"Twitter has really changed the color of like button from red to purple for bts performance at fifa world cup.

You can check it by yourself
#FIFA world cup #Jungkook first Single #Jungkook At FIFA world cup #Qatar world cup 2022 #world cup #world cup 2022",Neutral,Neutral
Positive,Who else is excited for Jungkook @bts_bighit to perform at the #world cup??? I cannot wait!!!Let's go!! #JungKook #dreamers #world cup 2022 #FIFA world cup #Dreamers by Jung kook,Positive,Positive
Positive,"Come join @MEXC_Global  on their space and showcase your fav teams during the Twitter Space. This is mine @argentina vs @mexico #MEXCworld cup01 #world cup 2022 

Join us in 30mins
",Neutral,Neutral
Positive,"@MEXC_Global World cup 
My Favourite team England
#MEXCworld cup01
#world cup 2022 !",Neutral,Neutral
Positive,"World cup 
My Favourite team England
#MEXCworld cup01
#world cup 2022 !!!!",Neutral,Neutral
Positive,"Just one more day until the #world cup 2022 starts! 

Who are you rooting for to win and bring the cup home?  Let us know below",Positive,Positive
Positive,"Hi, your #world cup 2022 is now available in the Player Request A Bet World Cup 2022 market at 17/2",Neutral,Neutral
Positive,"Watch the fans of Al-Annabi everywhere...enthusiasm and joy!

#FIFA world cupQatar2022 #FIFA world cup #world cup 2022 #Qatar2022",Positive,Positive
Positive,"Had to come for a walk right now, not just to deal with my Long Covid issues but to try and get my excitement levels down for the greatest tournament there is  #FIFA world cup #FIFA world cup 2022 #world cup #world cup 2022 ",Positive,Positive
Positive,"Portugal to win #world cup 2022 (16,00) E/W 1/2

Despite Ronaldo's off pitch noise, Portugal got a good chance to make it far. 

Great team on paper, good group & likely no Arg or Bra before a final. Not far behind Eng, Esp or Ger player by player and in a one off 40% prob minimum",Positive,Positive
Positive,Are you ready for #world cup 2022 ? #connecting millions of smiles #connecting you to more,Positive,Positive
Positive,"Excitement builds for #world cup 2022 opening ceremony with Jungkook, of #Kpop superstars #BTS, and Qatari singers Fahad Al Kubaisi and Dana due to perform
",Positive,Positive
Positive,"What a great piece on #world cup 2022 in @spikedonline 

It  nails all the #bull that we're having to endure, & unlike many of the social commentators, the author Mick Hume knows and likes #football 

#Qatar shouldn't have it, but nor should've #Russia  
",Strongly Positive,Positive
Positive,"FIFA World Cup  Opening Ceremony Live

VIP LINK
We've had some special opening ceremonies
Can't wait for another today! Don't miss it at 5.30pm local time!
#FIFA world cup | #Qatar2022
@fifa_tv2022 #BTS
#world cup 2022 #FIFA world cup",Strongly Positive,Positive
Positive,Good morning #Voyageurs Family! #world cup 2022 officially kicks off today! ,Positive,Positive
Positive,"Today is the day!  #world cup 2022 

Vamos, #Ecuador !!!",Positive,Positive
Positive,Let the festival begin #world cup 2022,Positive,Positive
Positive,"Qatar World Cup 2022 is finally here! Let's hope for a good tournament, most likely not lol. #world cup 2022",Negative,Negative
Positive,"Mark Drakeford insists people of Wales would want nation's leader to attend despite controversies

The Welsh first minister has defended his decision to travel to Qatar for the World Cup, saying he feels that the #MarkDrakeford #world cup 2022",Neutral,Neutral
Positive,"The FIFA #world cup 2022 is a huge celebration that brings people across the globe together. In today's blog post, find out how to teach comparatives and superlatives using examples related to football players, national teams and even fan bases!

",Positive,Positive
Positive,"It's almost time for the #world cup 2022 and @xrplzombie have got some *AMAZING* prizes up for grabs!

Follow the thread for more info

Get to the end to find out what the top Top TOP prize is up for grabs

",Strongly Positive,Positive
Positive,"If you believe in AG, believe in the enthusiasm brought by the World Cup. Then please enter our group chat immediately, otherwise I can't convince you. #AG #WCQatar22 #world cup 2022 ",Positive,Positive
Positive,"That is a goodlooking man

#Football #world cup 2022 #World",Positive,Positive
Positive,"Last couple of hours to get a FREE team registered in the #free to play #world cup 2022 #Fantasy Football competition with great prizes
Sign up and set up using this link: 
Join our league with this code: 
Good luck & enjoy the football!",Positive,Positive
Positive,"#Dreamers by Jungkook jungkooks voice like always is incredible, i can't watch the world cup but im sure he's gonna do amazing #world cup 2022 #Jungkook At FIFA world cup #JungKook",Positive,Positive
Positive,"The World Cup starts today and I'm giddy like a school girl, waiting four years and eight for the US team, and it's finally here #Qatar world cup 2022 #world cup 2022",Positive,Positive
Positive,"To all the #fans coming to #Qatar, #world cup 2022 here is the way to wear the #ghutra and headband to look beautiful
#world cup 2022 #doha #Trending Now",Positive,Positive
Positive,"With the #world cup 2022 finally kicking off today there is no shortage of hot topics to discuss, including hopefully the games themselves. Our Research Fellow shares his thoughts on what this means for the host nation and its identity

#Qatar2022 
",Neutral,Neutral
Positive,"Well here we are, World Cup day! Here are two of my @Fan Team Official and my @GAFFR_io and @Sky Fantasy Footy teams. All a bit different whilst also sharing a few of same! Good luck to everyone and I hope you have a great tournament. #world cup #world cup 2022 #Fantasy world cup 2022",Positive,Positive
Positive,"#world cup 2022 opening ceremony LIVE: #Qatar ready to raise curtain on football's greatest show
#Qatar world cup 2022 #football #Soccer #world cup",Positive,Positive
Positive,"Thanks for your #world cup 2022 #Request A Bet. We've passed this on to our traders and will be in touch if a price can be offered. 
Due to high volumes, not all requests can be priced, we would advise checking those available on site here",Neutral,Neutral
Positive,"HERE WE GO!! 
The World Cup kicks off today. Make sure you travel with us if you're heading out to watch any of the action. 
Book on the App
#bells hill #bells hill taxi #wishaw #mother well #world cup 2022",Positive,Positive
Positive,Part of the World Cup I am looking forward to is the @UK in Senegal team warm up #world cup 2022,Positive,Positive
Positive,Highly commendable if verified. #magboro community looks forward to similar performance #world cup 2022 #wikeleaks #Niger Delta #States #13%derivation,Positive,Positive
Positive,"Our #Guess Who quest offers fun riddles that exercise your brain and reward you!

5,000 $LUA

Give your mind a workout & enjoy #world cup 2022 w/ #LuaSwap!

Thanks NFT platform for the nice #NFT visuals!

How to join",Positive,Positive
Positive,"To all the five 5 Africa continent representatives at this year #world cup 2022.
I wish all of you the best of luck. Go and make us proud.
#FIFA world cup 2022 #FIFA world cup",Positive,Positive
Positive,Sorry but I'm team #African for this #world cup 2022 Will love to see that happen in my life on this earth. #world cup #Qatar world cup 2022 #Qatar2022 #Qatar,Positive,Positive
Positive,"Today, Ghanem opens the World Cup with verses from the Holy Quran. 
We've seen your culture now it's our turn for the world to witness true Islamic traditions in its entirety. #qatar2022 #world cup 2022 @QFA_EN @FIFA world cup",Positive,Positive
Positive,Recall that the 34-year-old became the first woman to referee a match at the 2022 men's Africa Cup of Nations. She also officiated at the Olympic Games in Tokyo last year. Good luck ladies. Let the #world cup 2022 begin. ,Positive,Positive
Positive,"This Trendy Color & Original beauty Must be made in Egypt
#world cup 2022",Positive,Positive
Positive,"Thierry Henry is that youâ.
Welcome to world cup,I hope Giroud will break Thierry's record.
#world cup 2022",Positive,Positive
Positive,USMNT I believe that we will win. #1N1T #world cup 2022,Positive,Positive
Positive,"It's almost time

To get you ready for the 2022 #world cup, we've got a short quiz running over on our Instagram story,

15 questions focused on the big tournament have a go and let us know how you get on!


#world cup 2022 #Qatar world cup 2022 ",Neutral,Neutral
Positive,I whole heartedly agree - who could STAND watching that much soccer without a beer? #world cup 2022,Positive,Positive
Positive,"Today is the start of the @FIFA world cup as Qatar face Ecuador.  We are urging fans to enjoy the tournament safely and responsibly.

Get more info on our website at 

#Herts #East Herts #Police #Football #world cup #world cup 2022",Positive,Positive
Positive,Version 1.3.4 is ready! Please update your app for WC22 and many more #world cup 2022,Neutral,Neutral
Positive,#world cup 2022 is coming  #Messi,Neutral,Neutral
Positive,Let the World Cup begin #world cup 2022,Neutral,Neutral
Positive,"The waiting is over! #world cup 2022 Begins Today!

First on the field: 

Qatar vs Ecuador 

Will the hosts take the first match of the tournament?

#world cupQatar2022",Positive,Positive
Positive,"Gary Lineker Finally time for the football!

#world cup 2022",Positive,Positive
Positive,"Best World Cup ads but why is Bale playing golf
#world cup #world cup 2022",Positive,Positive
Positive,"Make £2.50 profit on today's #world cup 2022 football with this 888sport offer!

",Neutral,Neutral
Positive,"#WATCH: #Pakistan is making its presence felt in #world cup 2022 in #Qatar through flags and footballs, as well as by taking part in the security arrangements for the mega event. #Qatar world cup 2022 
-
",Positive,Positive
Positive,"Waiting for your unbiased and top notch analysis together with the professor himself Arsene Wenger 

Buzzing and excited for the World Cup #world cup 2022 #world cup",Positive,Positive
Positive,Cristiano Meu amor  CR7 Best of luck for #world cup 2022,Positive,Positive
Positive,"About 1.5-2 hours daily* (almost exclusively sports.)

*This amount may drastically increase if I get hooked on the #CanMNT and the #world cup 2022 !",Neutral,Neutral
Positive,Who's excited for #world cup 2022 ?,Neutral,Neutral
Positive,Let the #world cup 2022 begin,Positive,Positive
Positive,"Welcome world cup 2022 Qatar Test fealing Belanda ,prancis, portugal,germany or Brazil candidate me champion #world cup 2022",Neutral,Neutral
Positive,Played FIFA to determine who will win between the @Socceroos vs @equipe de france in the @FIFA world cup. Got a draw. Would be thrilled to see this as the result. #FIFA world cup #Qatar2022 #world cup 2022,Positive,Positive
Positive,"Game one of the world cup #world cup 2022 is on tonight as Qatar host Ecuador and @Msport Uganda brings you the best odds

Register via
And win bigger than usual #Msport world cup",Positive,Positive
Positive,"England all the way, i'm full of hope and completely pumped #world cup 2022 insh'allah!!!!!!!",Strongly Positive,Positive
Positive,"Few hours reamining for the Bet365 Tournament Predictor!

It's free-to-play and you can win up to £1,000,000! 

#world cup #WC2022 #world cup 2022 #Qatar2022 #FIFA world cup #England #Three Lions #ENGIRN #Qatar world cup 2022

Read below how to play _ÙÔà 
https://t.co/hC4LsoiUlU",Neutral,Neutral
Positive," kuWallet Done! Thanks for the event!
#KuCoinWallet #world cup 2022 
",Positive,Positive
Positive,"NFT MINT IS LIVE!

#world cup starting today! Going to be plenty of bets! Which means lots of buybacks and burns of @betting cult

New ATHs incoming


#nft #tips #world cup 2022 #BSC Gems Alert ",Neutral,Neutral
Positive,Usiworry tena my nakuru people cheers lodge is there for us all karibuni as we kick off #world cup 2022 @NAlahaji,Neutral,Neutral
Positive,"My classmate  take all your friends and workmate out 
Today. Be assured I will be there on time..
But where? At Cheers Lodge Nakuru town chilling with my friend waiting for you.

#world cup 2022",Neutral,Neutral
Positive,"Let's go!!!
#world cup 2022",Positive,Positive
Positive,Its #world cup 2022 Day,Positive,Positive
Positive,"Our supporter ducks are going absolutely quackers with excitement today, because it is the start of the World Cup 2022! They'll be cheering their teams on and hoping they go the whole way. Who will you be supporting?!

#world cup 2022 #dcuk #world cup #supporters",Positive,Positive
Positive,"GROUP A PREVIEW THREAD
The time has come for the #world cup 2022 to begin
The Group A fixture between Qatar and Ecuador will today kick off a World Cup like no other
As part of our wall-to-wall World Cup coverage, we have taken a look at the four teams in Group A",Positive,Positive
Positive,"Every football fan has the feeling the moment world cup song plays while  chilling at Cheers Lodge at Nakuru town ready for #world cup 2022 with  friends
",Neutral,Neutral
Positive,"My cool cats nft  Cool Cats FC #world cup 2022 collection, hold on to your winning teams to gain the benefits courtesy of @One Football @aera_football @animoca brands #NFT #world cup #NFTs ",Neutral,Neutral
Positive,"My  world Cup 
Senegal
Germany
#world cup 2022",Neutral,Neutral
Positive,"Come guys instead of supporting Portugal, Brazil and Argentina  let's be good South Africans and support bafana bafana in this World Cup.   #bafana bafana #south africa #world cup 2022",Positive,Positive
Positive,"Artificial intelligence always fascinates me and gives me so much more

#disney land paris #pixar 
#world cup 2022 
#AIart #Dream booth #cartoon",Positive,Positive
Positive,"Are you stranded in Nakuru city  looking for a coolest place this weekend to enjoy yourself with family or friends? Worry not Cheers Lodge  is the best place for you. It has the best price for drinks and nyama choma #world cup 2022
",Positive,Positive
Positive,"For those who'll boycott the #world cup 2022 but still want to compete in betting contests with friends & colleagues, we've retrained our #machine learning model for predicting football matches!

All predictions available on ",Neutral,Neutral
Positive,"#world cup 2022 Offer ...

BEST PRICE ALL FIRST GOALSCORERS in every World Cup Match!!

#do you wanna bet",Neutral,Neutral
Positive,Aladdin panto cast world cup sketch! #aladdin panto #world cup 2022 #sketch,Neutral,Neutral
Positive,"Algorand already has NFTs for world cup





#Algorand NFTs #world cup 2022 #FIFA world cupQatar2022",Neutral,Neutral
Positive,"Happy #FIFA world cup day
#FIFA world cup 2022 #world cup #world cup 2022 #Qatar world cup 2022 #Qatar2022 #Qatar",Positive,Positive
Positive,"Proud to announce JUDGES for the Entrepreneurship World Cup Semi Final Round 2022 happening right now where over 40 judges are evaluating 500+ brilliant ideas from all over Pakistan. 

#EWC2022 #Entrepreneurship world cup #world cup #world cup 2022 #ID92 #entrepreneur",Positive,Positive
Positive,"Today's the day! Give us a call if you're heading to the pub and need a lift


#new city cars #manchester #world cup #world cup22
#world cup 2022 #football #qatar #Qatar2022 #QatarVEcuador",Positive,Positive
Positive,It's show time #FIFA world cup #world cup #world cup 2022 #World #Speed,Positive,Positive
Positive,"1589 days after France lifted the trophy, we're here again #world cup 2022 #world cup O clock",Positive,Positive
Positive,Happy #world cup 2022 kickoff!!!!,Positive,Positive
Positive,"Let's watch football
#world cup #world cup 2022",Positive,Positive
Positive,"Come hang out with the community

We're getting geared up for the #world cup

What team are you going to $REP

#WEBVD #world cup 2022 #Solana NFTs 

",Positive,Positive
Positive,"#world cup 2022 Offer ...

BEST PRICE ALL PLAYERS in the Top Goalscorer Market!!

#do you wanna bet",Positive,Positive
Positive,"The #world cup 2022 is here. Watching the matches all alone at home is boring. At Cheers Lodge and Grill, Nakuru (Near Hotel Waterbuck) you'll get the best experience ever. Karibuni",Positive,Positive
Positive,The day has arrived  #world cup 2022,Positive,Positive
Positive,"We take a break from the league with  Senior Cup action this Tuesday night, as we welcome @Handsworth_FC to Bracken Moor. We have reduced ticket prices for the game, so forget the #WorldCup2022 come up & watch live football. Plus no ban on alcohol",Positive,Positive
Positive,"#world cup 2022 starts today!

Unless you're Scottish, in which case it's Sunday",Negative,Negative
Positive,"World cup Craze is on!!
What team are you supporting? Comment below
 #world cup #world cup 2022 #world cup Qatar2022 #Creative IT Institute",Positive,Positive
Positive,Pros pumping #Ptos next target $2.67 on the chart LG #world cup 2022,Neutral,Neutral
Positive,Filter will just make people dey call you boss man. Na sapa dey do promo world cup 2022 #DjCuppy #Asiwaju,Neutral,Neutral
Positive,WHERE CAN WE WATCH JUNGKOOK'S PERFORMANCE FOR #world cup 2022 #Dreamers by Jungkook #FIFA world cup #JungKook,Neutral,Neutral
Positive,"The #world cup is upon us again.
It should be on record that I am rooting for Argentina and Lautaro Martinez.. As for my African brothers, and @Inter_en players participating for there national team wish you progress and success. 
#world cup 2022 
#world cupQatar2022 
#ForzaInter",Positive,Positive
Positive,"Good morning Reptiles! We wish you all a great Sunday

Today is also the start of the #world cup 2022  and the start of the long anticipated @TheMandrillz World Cup  offering you some unique #CNFT trading cards.

#CNFTCommunity
#CNFTProject
#CardanoCommunity
#CardanoNFT
",Positive,Positive
Positive,After much deliberation I've decided I want Messi and Argentina to win the World Cup. #world cup 2022,Neutral,Neutral
Positive," #world cup 2022 event just started!
I'm joining the #Defina World Cup #white list #Air drop
SS Hero S Show time!! Free rare hero here we gooo
Let's share the big #prize pool and cheer for the World Cup teams!
#NFT #gamefi #anime",Positive,Positive
Positive,World cup is finally here !!! #world cup 2022,Positive,Positive
Positive,"ENGLAND PLAYERS will be rewarded with £13 mn (Sh1.6 bn) bonus if they win the #world cup 2022 in Qatar with each player standing to take home £500,000 (Sh60.5 mn) as well as a winners medal... with #FIFA set to give victors £35m and runners-up £25m #FIFA world cup",Neutral,Neutral
Positive,"""Match Day

 #world cup 2022 #MATCHDAY ",Neutral,Neutral
Positive,I'm starting my fundraising drive today. DM me if you want to donate to @amnesty throughout this World Cup. Either donate per game you watch or a flat fee for the tournament. Please RT! #world cup #FIFA world cup #world cup 2022,Neutral,Neutral
Positive,"THE WORLD CUP IS HERE!

Whoever you are supporting, you can watch your nation here with us!

#world cup #world cup 2022 #WC",Neutral,Neutral
Positive,"To the beloved State of Qatar, from Qatar Scholarship's Programme students and alumni, for the landmark organization of #world cup 2022 . 
#FIFA world cup",Positive,Positive
Positive,"#world cup 2022 starts tonight but you can still make your #Sports bet io Super 7 predictions till gets underway tomorrow

Click on the link & play 

#FIFA world cup #Qatar2022world cup",Neutral,Neutral
Positive,"Morning all #SundayMorning Hope you all have a blessed day walking with Jesus

#mental health #Suicide Prevention #PTSD #Ukraine War #world cup 2022

England fans in Qatar",Positive,Positive
Positive,"I think today is the day 
@Twitter
 usage will go off the roof! The most controversial World Cup in history begins on the same day 
@realDonaldTrump
 is reinstated back to the app. Can't wait to see what his first tweet back will be world cup 2022",Positive,Positive
Positive,"The World Cup kicks off in Qatar today in a high-stakes event for the tiny nation.

#Qatar world cup 2022 #world cup 2022
#FIFA world cup #Qatar #highstakes
",Positive,Positive
Positive,"Picture of the century 
#Messi #ronaldo #world cup 2022",Positive,Positive
Positive,The world cup starts today @selecaoportugal let's have a memorable one.... Wish you and @Cristiano best of luck. Vamos! #Portugal #world cup #world cup 2022,Positive,Positive
Positive,Little Chilly is gunna light up this World Cup #world cup 2022 #StarBoy,Positive,Positive
Positive,"We are excited about the FIFA World Cup 2022. And here is a grand reason for you to get excited as well! 

We are offering up to a 30% discount on your next order.


#world cup 2022 #FIFA world cup #FIFA world cup 2022  #world cup  #Qatar2022",Positive,Positive
Positive,The day is finally here. Which team do you support? #world cup 2022 #world cup #world cup,Neutral,Neutral
Positive,Enough with #GE15 whatever the result is..i just need to bear with it...now shift my focus to #world cup 2022 i am rooting for my man Licha #TeamArgentina,Positive,Positive
Positive,"Hopefully the Project will run smoothly and smoothly.... Can't wait #day one



#world cup 2022 
#Giveaway 

",Positive,Positive
Positive,SkyBet Dont forget about your £1 free bet builder for all England games folks :) #England #world cup 2022,Neutral,Neutral
Positive,It's the start of #world cup 2022 today. ,Neutral,Neutral
Positive,"Looking forward to #world cup 2022 in #Qatar. Really hoping that a non-european team lifts the trophy this time, been a while. My personal favourite is #Argentina. Enjoy!!",Positive,Positive
Positive,"What Qatar is doing during #world cup 2022 to spread the message of Islam

1. Sayings of Prophet in every corner promoting the beauty of Islam.

2. Hotel rooms have a barcode that introduces the teachings of Islam, Hadeeths, and a simple definition of the Muslim faith.",Positive,Positive
Positive,"Can we just agree that this is the best kit at the world cup by far 

#Socceroos  #world cup 2022",Positive,Positive
Positive,"1 Day Left...#Qatar2022 

Bots are you ready? Ocat will watch the #world cup 2022 with you!

#Ocat #FIFA world cupQatar2022 ",Neutral,Neutral
Positive,"World Cup starts today, let's have it #world cup 2022",Positive,Positive
Positive,"The #world cup is here. Let the good times roll! 
Enjoy the match and share your moments with us.

#world cup 2022 #world cupQatar2022  #world cup 2022ET #world cup Fantasy #Dreams Maker #Gaming Community #NFT Community #NFTs #Gaming",Positive,Positive
Positive,"@elonmusk You don't know anything about soccer. The #world cup 2022 is the biggest sport event in the world. That's a fact. Just prove it and get it done, Elon.",Negative,Negative
Positive,"Arab and international fans raise Palestinian flags and wear keffiyehs in solidarity with the people of Palestine ahead of #world cup 2022 in Doha, Qatar.
#Raise Palestine Flag",Positive,Positive
Positive,"Many new projects would have been mooning if the FTX collaps didnt happened.

$YDF = insane undervalued 
$WCI = deserved more pre-world cup upside/hype
$DGTV = nice real time utility 

Enjoy the World Cup all!

What country you are cheering for?, drop a flag

#world cup 2022",Positive,Positive
Positive,"There is only one king in the world, and that is Messi.#Messi #world cup 2022",Positive,Positive
Positive,"It's #FIFA world cup Day!
Comment Your Predictions, Who's Winning That Beautiful Trophy
#world cup #world cup 2022",Positive,Positive
Positive,"Just one day until the World Cup starts in Qatar!

#world cup 2022 #FIFA world cup #FIFA #Qatar #Astro Radio News",Positive,Positive
Positive,happy World Cup day everyone!!! #world cup 2022,Positive,Positive
Positive,"Happy world cup day
despite it's many shortcomings I've always thought of football as the one thing that puts people's differences aside
naive and unrealistic but i always adored the idea of having a no conflict zone
best of luck
#world cup 2022 #world cup #Qatar world cup 2022",Positive,Positive
Positive,"Today we launch a website where you can see tweets from the most important Twitter people in football.
#world cup 2022 #world cup ",Neutral,Neutral
Positive,"registration for teams has officially CLOSED. 

Get ready for the first leg of #KCGI 2022: Football Edition tomorrow. May the best trading tribe win! 

You can still register and join an existing team here
#Bit get #world cup 2022 ",Positive,Positive
Positive,"Dreamers by Jungkook of BTS give ur love everyone
DREAMERS IS COMING 
#world cup 2022
#FIFA world cup
#Dreamers Out Now
#Dreamers 2022 
#Dreamers By JungKook
#Dreamer Fifa 2022
",Positive,Positive
Positive,"itel_SA France for me 
#itel Mobile SA #The Joy Of Connecting #itel You Love Fridays #Black Friday #world cup 2022",Positive,Positive
Positive,"although this is no longer the official world cup, this song is more famous than the world cup song itself 



#knaanwarsame #world cup 2022
#wafinflag #CocaCola
",Neutral,Neutral
Positive,"WAKE UP, IT'S GAME DAY!
 #qatar #world cup 2022",Positive,Positive
Positive,"I've got Argentina winning the #world cup 2022 

Who do you all got?",Neutral,Neutral
Positive,The day has arrived and I can't wait !!!  #world cup 2022 #FIFA world cup #come on england #uk,Positive,Positive
Positive,"Today is the day
I support
1- 
2-  
3- 
In this world cup,  who U support and cheer 
#world cup 2022",Neutral,Neutral
Positive,"#Top Goal #BNB Chain #world cup 2022
",Positive,Positive
Positive,"Today is World Cup day 4 years in the making .. 32 teams .. 1 trophy !!
#FIFA world cup #world cup 2022 !!",Positive,Positive
Positive,Good luck in #world cup 2022. Stay focused. Play YOUR game. Everyone back home is rooting for you. #USA FOOTBALL,Positive,Positive
Positive,"Who is going to support with me? #world cup 2022 

Go Qatar!",Positive,Positive
Positive,"Please STREAM!!  Thank you! Dreamers #world cup 2022
",Positive,Positive
Positive,"NEWSFLASH I'm staying in the fan village, and it's exactly as advertised. Meaning is it perfect? no, but it has everything as promised. 

Video being posted on my channel today! Stay tuned for some real coverage

#world cup 2022 #world cup #USMNT #SOSTV",Positive,Positive
Positive,It's technically #world cup 2022 day LFG!! ,Neutral,Neutral
Positive,"Ya Allah, I pray with your beautiful names that you make the Qatar's World Cup  a success and that it helps people all around the world  see how Islam is a religion of peace.

#world cup #FIFA world cup #world cup 2022",Positive,Positive
Positive,Jungkook has the cleanest vocals of all time #Dreamers by Jungkook #world cup 2022,Positive,Positive
Positive,"OMG THE PERFORMANCE IS GONNA BE INSANE, I CANT WAIT ! CELEBRATION AND FESTIVAL VIBES ! 
#Dreamers 2022 #world cup 2022",Positive,Positive
Positive,"ManUtd @ede_finance is #Giveaway  the #world cup 2022  team NFTs(w/ real value) now!

Don't miss it!",Neutral,Neutral
Positive,"Okay another FANTASTIC football Saturday going 3-0.....but here comes the #world cup 2022 #FIFA world cup our bread & butter! Incredible Holiday season with football & #world cupQatar2022  This is going to make us so let's take advantage of it
",Positive,Positive
Positive,"#world cup 2022 #Messi #Argentina 
 My country is not  Argentina but I support Argentina  every world cup from 2010 .  on that year I start learn about football",Positive,Positive
Positive,"It's 20th November !!!! 

#FIFA world cup #world cup 2022 #world cup Qatar2022 #world cup",Positive,Positive
Positive,LFG.....I'm so excited!! #world cup 2022 #world cup Qatar2022 #GO GO USA,Positive,Positive
Positive,"Fantasy FIFA World Cup 2022. Simple but strong display. Let's set team! My current strategy using 4 premium players: Lionel Messi, Harry Kane, Kylian Mbappe, and Kevin De Bruyne. 

#world cup 2022 #Fantasyworld cup 2022",Positive,Positive
Positive,"Not to brag, but my #world cup 2022 bracket is Ranked #1",Positive,Positive
Positive,"IT'S FINALLY HERE! The long-awaited FIFA World Cup 2022
Watch them on Free Live Stream Here:


#world cup 2022 #FIFA world cup #qatar #bet #sportsbet #singapore casino #singapore #livestream #cmd368 #wbet #m8bet #tbsbet #freecredits #world cup fixture",Positive,Positive
Positive,"Brazil team is champion of #world cup 2022 


Best Giveaway. 
Done

All task completed",Positive,Positive
Positive,D-day #world cup 2022 #FIFA world cup,Positive,Positive
Positive,"DREAMERS BY JK IS COMING
JUNGKOOK IS COMING
#Jungkook first Single #Dreamers 
#Dreamers 2022 #JUNGKOOK #world cup 2022",Neutral,Neutral
Positive,"Happy World Cup Eve! #pst #world cup #world cup 2022 #Qatar2022 #Qatar world cup 2022 

Days until the World Cup: 1  #world cup countdown",Positive,Positive
Positive,Messi's last World Cup! I am going with Argentina to win the World Cup.#world cup 2022,Positive,Positive
Positive,"BETWAY ODDS POSTED HERE DAILY 100 PERCENT GUARANTEED WINS DAILY JOIN VIA THIS LINK
#world cup 2022",Neutral,Neutral
Positive,"#world cup 2022 is here don't Miss it.
 We got you covered. Just DM us @TopTipTutor
#Coursework
class
Essaydue
Math
Dissertation
programming...
Coding.
Pay Paper
Homework help
Onlineclasses
Assignmentdue
javascript
Accounting
programming",Neutral,Neutral
Positive,World cup is TMMRW! LETS GOOO #world cup 2022,Positive,Positive
Positive,"Happy weekend, all #Ku Coin Wallet FAM!

It's #Weekend game time!

Which team is the champion of #world cup 2022


Comment your guess below. Let's see who is the Master Predictor!",Neutral,Neutral
Positive,Hi Oz you smashed World Cup rugby x2 today in UK now it's on to Qatar .#world cup 2022 good luck to the Socceroos v France on Tuesday they are the favourites,Positive,Positive
Positive,"Skyland NFTs I'll try my best to support this project. Because this project always give the best too for the community. Wish you guys always well.

#world cup 2022 
#Giveaway 

",Positive,Positive
Positive,Who is excited about the #world cup 2022 ?!?!?!? ,Neutral,Neutral
Positive,"Bringing my A game in Sports Land Stadium

Excited for #world cup 2022 ! ",Positive,Positive
Positive,"Ladies and gentlemen, it's World Cup day! #FIFA world cup #world cup 2022 #Qatar 2022",Positive,Positive
Positive,ok ok ok ok bismillah here we go #world cup 2022,Neutral,Neutral
Positive,"Said it many times and will say it again, John Herdman is badass. 
He made a HUGE impact on women's soccer in Canada now he's done it with the men and doing a lot with development programs. 

Go #TeamCanada at #world cup 2022 
",Positive,Positive
Positive,Giroud #CoupeDuMonde #world cup 2022,Positive,Positive
Positive,"#world cup 2022 Starts later today and I won't be watching a single minute of it. I'll see you all in about a month, that's if Twitter is still around",Negative,Negative
Positive,Great thread to read before the start of #world cup 2022,Positive,Positive
Neutral,"World Cup + England
#MEXC World Cup 01 #World Cup 2022",Neutral,Neutral
Neutral,"
 #World Cup 2022 
#ennervalencia",Neutral,Neutral
Neutral,SOCCER - Maddison and Walker to miss #England v #Iran says Southgate #Football #Soccer #World Cup 2022 #Qatar ,Neutral,Neutral
Neutral,"Go with Brazil  and Portugal

#Qatar World Cup 2022 
#World Cup 2022 
#World Cup 
#FIFA World Cup 
#FIFA World Cup 2022",Neutral,Neutral
Neutral,"
USA   vs ENGLAND
Should we do a #Bad Bears team USA ü GIVEAWAY tomorrow in support of team USA?
100 Retweets and we giveaway 500! #Enjin #Enjin NFT #FIFA World Cup #World Cup 2022",Neutral,Neutral
Neutral,World Cup 2022  has started. What smart watch models are used in this period? #World Cup 2022 #qatar2022 #Smartwatch #hublotwatch ,Neutral,Neutral
Neutral,Lots of right wing flag accounts having a pop at kneeling footballers and Beeb presenters for ... presenting who have suddenly found a passion for LGBT and women's rights and even more so ... migrant workers rights. Astonishing. #FIFA World Cup #FIFA World Cup 2022 #World Cup 2022,Negative,Negative
Neutral,Is he completely wrong though? #World Cup 2022,Neutral,Neutral
Neutral,"#World Cup 2022 Tactical Breakdown Gameday 1:

- Valencia will score in every group stage game he plays
- Ecuador won't be keeping any more clean sheets
- Stopping your team from playing competitive football 2 months before a tournament is a bad idea 
",Negative,Negative
Neutral,"The World Cup has officially kicked off, with Qatar beaten by Ecuador 2-0 in the opening match for Group A.

This makes Qatar the first host nation to ever lose the opening match of the World Cup.

#FIFA World Cup #World Cup 2022 #Qatar #FIFA #Astro Radio News",Neutral,Neutral
Neutral,"broadcast Iran Protests in #World Cup 2022 #FIFA World Cup 

#MahsaAmini
#Anonymous 
#OpIran",Negative,Negative
Neutral,"MASHA ALLAH 

What Qatar is doing during #World Cup 2022 to spread the message of Islam",Neutral,Neutral
